Leap Product,Company ObjectId,Account Name,Plan,Account ID,Agreement: Agreement #,Next Payment Due Date,Start Date,NAICS Code,Primary Classification,Current Number of Licenses,Current Monthly Cost Per License,Current Total Monthly Cost,Total Setup Fee,Total Paid-To-Date,Billing Zip/Postal Code,Billing City,Billing State/Province,Account Owner,Customer Success Manager,Current MRR,Consolidated Census Bands,Census Bands,# Of Potential Users,Current Leap Users,Current SalesPro Users,Current Leap MRR,Current SalesPro MRR
JobProgress,,Second to None Exteriors,Leap Team 2023,0011K00002eQAGs,6906,9/2/23,8/2/23,not found,,6,99,546,250,"$1,822 ",63376,St Peters,MO,Francesca Furnells,Francesca Furnells,546,1-9 employees,5-9 employees,,6,0,546,0
JobProgress,,Guardian Roofing LLC,Partner 65,0011K00002ZN7Ml,3765,12/13/22,9/30/22,not found,Contractors - Roofing,4,65,260,500,"$1,819 ",95403,Santa Rosa,CA,Christopher Cielo,Christopher Cielo,260,1-9 employees,1-4 employees,,4,0,260,0
Leap,7bK3xpJMyt,Home Improvement,Pro 2021,0011K00002WFqYx,3482,10/29/23,6/29/22,not found,,2,49,98,250,"$1,818 ",,,CT,Kevin Powell,Kevin Powell,98,1-9 employees,1-4 employees,,0,2,0,98
Leap,VF3fUtbfIz,Next Wave Construction,Premium 2021,0011K00002XxWVv,3518,10/29/23,7/29/22,not found,Contractors - Building,2,99,198,500,"$1,816 ",,,IL,Christopher Cielo,Christopher Cielo,198,1-9 employees,1-4 employees,,0,2,0,198
JobProgress,,Queen City Elite Restoration Inc,Partner 65,0011K00002ZN89n,5325,12/13/22,2/15/19,not found,Contractors - Roofing,4,60.5,242,500,"$1,813 ",45255,Cincinnati,OH,Francesca Furnells,Francesca Furnells,242,1-9 employees,1-4 employees,2,4,0,242,0
JobProgress,,ERC Construction INC,Partner 65,0011K00002ZN7Es,4988,12/13/22,4/13/20,not found,Contractors - Roofing,4,60.5,242,500,"$1,807 ",55304,Ham Lake,MN,Colton Temanson,Colton Temanson,242,1-9 employees,1-4 employees,,4,0,242,0
JobProgress,,American Roofing and Construction,Leap Team 2023,0011K00002c58z5,6537,5/26/23,4/26/23,not found,,3,79,237,500,"$1,806 ",35976,Guntersville,Alabama,Sydney Phillips,Sydney Phillips,237,1-9 employees,1-4 employees,,3,0,237,0
JobProgress,,"Crunch, Inc.",Partner 65,0011K00002ZN7Xh,4307,12/13/22,10/7/21,not found,Contractors - Building,3,60.5,231.5,500,"$1,803 ",60546,North RiverSide,IL,Daniil Lyalko,Kevin Powell,231.5,10-19 employees,10-19 employees,,3,0,231.5,0
Both,cUOJqMHPB0,Maggio Roofing,SalesPro Team 2023,0014100001ySRK9,6705,11/5/23,6/5/23,not found,Contractors - Roofing,6,99,594,0,"$1,802 ",20912,Takoma Park,MD,Sydney Stansell,Sydney Stansell,1539,20-49 employees,20-49 employees,30,21,6,945,594
Leap,UTVkRrFv2Y,Pacific Gutter Company,SalesPro Team 2023,0011K00002eQz5l,6975,10/25/23,8/25/23,not found,,10,90,900,0,"$1,800 ",,,OR,Sydney Stansell,Sydney Stansell,900,10-19 employees,10-19 employees,,0,10,0,900
JobProgress,,Alphonse Overhead Door,Partner 65,0011K00002aKvNG,5713,1/16/23,12/16/22,not found,,2,65,130,500,"$1,800 ",1913,Amesbury,Massachusetts,Sydney Phillips,Sydney Phillips,130,1-9 employees,1-4 employees,,2,0,130,0
JobProgress,,Onit Roofing LLC,Partner 65,0011K00002ZN7vj,4728,12/13/22,12/28/20,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,800 ",77494,Katy,TX,Colton Temanson,Colton Temanson,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
Leap,rhiJgzJzYp,Clearwater Window & Door Inc,SalesPro Team 2023,0011K00002f9E6O,7084,10/30/23,9/30/23,423310,,3,99,297,1500,"$1,797 ",33765,Clearwater,FL,Christopher Cielo,Christopher Cielo,297,1-9 employees,1-4 employees,,0,3,0,297
JobProgress,,Greater Roofing INC,Partner 65,0011K00002bapiJ,6157,3/16/23,2/16/23,not found,,1,65,65,500,"$1,796 ",36562,Daphne,AL,Christopher Cielo,Christopher Cielo,65,1-9 employees,1-4 employees,,1,0,65,0
JobProgress,,Home Front Exteriors,Leap Team 2023,0011K00002bqQec,6267,4/10/23,3/10/23,not found,,5,79,395,500,"$1,794 ",55124,Apple Valley,MN,Francesca Furnells,Francesca Furnells,395,1-9 employees,5-9 employees,,5,0,395,0
JobProgress,,Southeastern Roofing and Construction,Leap Team 2023,0011K00002bsXT3,6868,8/21/23,7/21/23,238160,,4,99,348,0,"$1,794 ",34236,Sarasota,FL,Francesca Furnells,Francesca Furnells,348,1-9 employees,1-4 employees,,4,0,348,0
Leap,kTr6HvnAI5,Area-Wide Door and Window Systems,SalesPro Team 2023,0011K00002d9eAH,6811,10/30/23,6/30/23,not found,,2,99,198,1000,"$1,792 ",,,FL,Daniil Lyalko,Kevin Powell,198,1-9 employees,1-4 employees,,0,2,0,198
JobProgress,,"Valiant Roofing, LLC",Partner 65,0011K00002aMxPe,5852,2/10/23,11/11/20,not found,,7,27.5,192.5,750,"$1,791 ",98685,Vancouver,WA,Francesca Furnells,Francesca Furnells,192.5,1-9 employees,5-9 employees,,7,0,192.5,0
Leap,InfvcjA6xC,Lanes Roofing,Premium 2021,0011K00002YKykP,3563,10/26/23,8/31/22,not found,Contractors - Roofing,1,99,99,500,"$1,787 ",46540,MIDDLEBURY,IN,Sydney Phillips,Sydney Phillips,99,1-9 employees,1-4 employees,,0,1,0,99
Leap,rO8T0la98b,Window Kings,Premium 2021,0011K00002ZMXmo,5614,10/30/23,11/30/22,236118,,2,99,198,0,"$1,782 ",33903,North Ft. Myers,FL,Francesca Furnells,Francesca Furnells,198,1-9 employees,1-4 employees,,0,2,0,198
JobProgress,,R & R Roofing and Remodeling,Partner 65,0011K00002ZN7V5,4446,12/13/22,7/29/21,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,782 ",19707,Hockessin,DE,Daniil Lyalko,Kevin Powell,181.5,10-19 employees,10-19 employees,,3,0,181.5,0
JobProgress,,RA Jones Inc,Partner 65,0011K00002ZN81p,4874,12/13/22,7/31/20,not found,Contractors - Building,3,60.5,181.5,500,"$1,782 ",23606,Newport News,VA,Sydney Phillips,Sydney Phillips,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Tom Williams Roofing,Partner 65,0011K00002ZN7aQ,4935,12/13/22,5/29/20,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,782 ",77380,The Woodlands,TX,Sydney Phillips,Sydney Phillips,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,4YxzPLaAZV,Ashmen Installations Inc.,Partner 65,0011K00002ZN84Y,5012,12/13/22,4/30/20,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,782 ",8361,Vineland,NJ,Sydney Phillips,Sydney Phillips,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Creative Air LLC,Partner 65,0011K00002ZN802,4759,12/13/22,12/29/20,not found,"Heating, Ventilation & Air Conditioning",3,60.5,181.5,500,"$1,782 ",54025,Somerset,WI,Corey Stroup Mishenko,Corey Stroup Mishenko,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Polk Contracting Inc.,Partner 65,0011K00002ZN8By,5444,12/13/22,4/27/18,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,781 ",21028,Churchville,MD,Sydney Phillips,Sydney Phillips,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Sargon Construction Corp,Partner 65,0011K00002ZN7Wi,4992,12/13/22,4/27/20,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,781 ",60089-2115,Buffalo Grove,IL,Sydney Phillips,Sydney Phillips,181.5,10-19 employees,10-19 employees,,3,0,181.5,0
JobProgress,,Morgans Roofing,Partner 65,0011K00002ZN7HD,4734,12/13/22,5/27/21,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,781 ",N0M1L0,Clinton,ON,Daniil Lyalko,Kevin Powell,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
