Leap Product,Plan,NAICS Code,Primary Classification,Current Number of Licenses,Current Monthly Cost Per License,Current Total Monthly Cost,Billing State/Province,Current MRR
JobProgress,Partner 65,not found,Contractors - Paving,6,55,330,KY,330
JobProgress,Partner 65,not found,Contractors - Roofing,5,60.5,302.5,GA,302.5
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,NJ,242
Leap,SalesPro Team 2023,not found,,2,99,198,FL,198
JobProgress,Partner 65,not found,,3,60.5,281.5,LA,281.5
JobProgress,Partner 65,not found,Contractors - Building,3,60.5,181.5,OR,181.5
JobProgress,Partner 65,not found,,4,60.5,242,NJ,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,TX,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,PA,242
JobProgress,Partner 65,not found,,4,60.5,242,FL,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,TX,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,NJ,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,MI,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,FL,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,TN,242
JobProgress,Partner 65,not found,Construction Supplies & Services,4,60.5,242,ON,242
JobProgress,Leap Team 2023,not found,,5,79,395,Indiana,395
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,TX,242
JobProgress,Partner 65,not found,Swimming Pool Construction,4,60.5,242,OH,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,AB,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,NE,242
JobProgress,Partner 65,not found,Contractors - Building,5,60.5,302.5,CA,302.5
JobProgress,Partner 65,not found,Consultants - Business,4,60.5,242,TN,242
JobProgress,Partner 65,not found,Contractors - Building,4,60.5,242,TX,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,FL,242
JobProgress,Partner 65,not found,Contractors - Building,4,60.5,242,IN,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,FL,242
JobProgress,Partner 65,238160,Contractors - Roofing,4,60.5,242,ME,242
JobProgress,Partner 65,not found,Contractors - Paving,4,60.5,242,CT,242
JobProgress,Partner 65,not found,Landscaping Services & Supplies,4,60.5,242,VA,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,BC,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,PA,242
JobProgress,Partner 65,not found,Contractors - Siding,4,60.5,242,MD,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,IL,242
JobProgress,Partner 65,not found,Contractors - Roofing,6,65,390,LA,390
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,MO,242
JobProgress,Partner 65,not found,,9,35,315,MD,315
JobProgress,Partner 65,not found,,3,60.5,181.5,GA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,231.5,OR,231.5
JobProgress,Partner 65,not found,Contractors - Roofing,4,65,260,TX,260
Both,Partner 65,423310,Glass Products & Services,4,60.5,242,TN,371
JobProgress,Leap Team 2023,not found,,7,55,385,PA,385
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,TN,242
Leap,SalesPro Enterprise 2023,238170,Contractors - Siding,3,129,387,MN,387
JobProgress,Partner 65,not found,,5,65,325,AL,325
JobProgress,Partner 65,not found,,5,65,325,NE,325
JobProgress,Partner 65,not found,Contractors - Roofing,5,60.5,302.5,NJ,302.5
JobProgress,Partner 65,not found,Contractors - Roofing,5,60.5,302.5,GA,302.5
Leap,SalesPro Enterprise 2023,not found,,10,115,1150,AL,1150
JobProgress,Partner 65,not found,Contractors - Siding,5,60.5,302.5,CO,302.5
JobProgress,Partner 65,not found,Contractors - Roofing,4,55,220,TX,220
JobProgress,Partner 65,not found,Contractors - Roofing,5,60.5,302.5,KY,302.5
Leap,Premium 2021,not found,,1,99,99,MD,99
Leap,Premium 2021,not found,Contractors - Siding,2,99,198,MI,198
Leap,Premium 2021,not found,,2,99,198,MS,198
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,QC,242
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,231.5,DE,231.5
JobProgress,Partner 65,not found,,5,65,325,Florida,325
JobProgress,Leap Team 2023,not found,,5,65,325,NJ,325
Leap,SalesPro Enterprise 2023,not found,Contractors - Siding,2,129,258,MD,258
JobProgress,Partner 65,not found,Contractors - Building,4,60.5,242,MN,242
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,231.5,NC,231.5
JobProgress,Partner 65,not found,Home Improvement & Remodeling Services,4,60.5,242,PA,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,MA,242
JobProgress,Partner 65,not found,Contractors - Painting,4,60.5,242,CA,242
JobProgress,Partner 65,not found,Contractors - Deck & Patio,3,60.5,181.5,GA,181.5
Leap,Enterprise 2021,not found,Contractors - Building,1,125,125,CA,125
Leap,Enterprise 2021,not found,Contractors - Roofing,1,125,125,NJ,125
Both,SalesPro Enterprise 2023,not found,,5,90,450,AR,1080
JobProgress,Partner 65,not found,,4,65,260,Georgia,260
JobProgress,Leap Team 2023,not found,,7,74,518,AR,518
JobProgress,Partner 65,not found,Contractors - Roofing,3,71.5,214.5,TX,214.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,CA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,267,MA,267
JobProgress,Partner 65,not found,Swimming Pool Construction,4,60.5,242,FL,242
JobProgress,Partner 65,not found,,4,65,260,QC,260
JobProgress,Partner 65,not found,Propane,4,60.5,242,TX,242
Leap,SalesPro Team 2023,not found,,5,89,445,AR,445
JobProgress,Partner 65,not found,Garage Doors,1,60.5,60.5,MO,60.5
JobProgress,Partner 65,not found,,3,60.5,206.5,VA,206.5
JobProgress,Leap Team 2023,not found,,6,74,444,TX,444
JobProgress,Partner 65,not found,Contractors - Roofing,5,60.5,302.5,KS,302.5
Leap,SalesPro Enterprise 2023,not found,,6,122,732,MD,732
JobProgress,Partner 65,not found,,3,65,195,DE,195
JobProgress,Partner 65,not found,,3,65,195,WA,195
JobProgress,Partner 65,not found,,3,65,195,GA,195
Leap,SalesPro Team 2023,not found,,1,99,99,IL,99
Both,Premium 2021,not found,Contractors - Roofing,1,99,99,MN,220
Leap,Premium 2021,not found,"Awnings, Canopies & Tarps",1,99,99,IL,99
Leap,Premium 2021,not found,,1,99,99,KS,99
Leap,Premium 2021,not found,Contractors - Building,1,99,99,OK,99
Leap,SalesPro Team 2023,not found,,4,99,396,MA,396
JobProgress,Leap Team 2023,not found,,4,79,316,OH,316
Leap,Premium 2021,not found,,2,99,198,Texas,198
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,NJ,60.5
JobProgress,Partner 65,not found,Contractors - Concrete,4,60.5,242,PA,242
JobProgress,Partner 65,not found,,4,65,260,VIC,260
Leap,Premium 2021,not found,Contractors - Roofing,3,90,270,IL,270
JobProgress,Partner 65,not found,Home Improvement & Remodeling Services,4,55,220,WI,220
JobProgress,Partner 65,not found,Contractors - Roofing,4,55,220,OH,220
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,NY,242
Leap,Premium 2021,not found,,2,99,198,WA,198
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,TN,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,FL,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,TX,242
JobProgress,Partner 65,not found,Contractors - Roofing,2,55,110,TX,110
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,VA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,OK,242
JobProgress,Partner 65,not found,Contractors - Building,4,65,260,CT,260
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,292,ON,292
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,FL,242
JobProgress,Partner 65,not found,,2,60.5,196,NY,196
JobProgress,Partner 65,not found,Contractors - Insulation,4,60.5,242,NJ,242
JobProgress,Partner 65,not found,,4,60.5,242,NC,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,55,220,TX,220
JobProgress,Partner 65,not found,,4,55,220,MD,220
JobProgress,Partner 65,not found,Contractors - Roofing,4,65,260,CT,260
Leap,Premium 2021,not found,,2,90,180,Wisconsin,180
Leap,Premium 2021,236118,Contractors - Building,6,99,594,MA,594
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,AL,242
JobProgress,Partner 65,423310,Glass Products & Services,4,60.5,242,AB,242
Leap,Premium 2021,not found,,2,99,198,TX,198
JobProgress,Partner 65,not found,Contractors - Building,4,55,220,VA,220
JobProgress,Partner 65,not found,,4,60.5,242,GA,242
Both,Partner 65,not found,,8,65,520,CA,817
JobProgress,Partner 65,not found,Contractors - Roofing,6,31.92,191.52,MD,191.52
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,TX,242
JobProgress,Partner 65,not found,Contractors - Siding,4,60.5,242,ON,242
JobProgress,Leap Team 2023,not found,,2,67,134,TX,134
Leap,Premium 2021,not found,,1,99,99,CO,99
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,Maryland,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,5,60.5,302.5,IN,302.5
JobProgress,Leap Team 2023,not found,,3,79,237,GA,237
Leap,Premium 2021,not found,,2,99,198,GA,198
Leap,Premium 2021,not found,Contractors - Roofing,2,99,198,NM,198
JobProgress,Partner 65,not found,Contractors - Building,3,60.5,181.5,TX,181.5
Leap,Premium 2021,not found,Contractors - Siding,1,99,99,MT,99
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,206.5,MD,206.5
JobProgress,Partner 65,not found,Contractors - Building,2,66,257,MN,257
JobProgress,Partner 65,not found,,6,65,390,NY,390
JobProgress,Partner 65,not found,Contractors - Building,6,60.5,388,AR,388
JobProgress,Partner 65,not found,Contractors - Building,3,55,165,TX,165
JobProgress,Partner 65,not found,,4,65,260,WI,260
JobProgress,Partner 65,238160,,3,65,195,Ohio,195
JobProgress,Partner 65,not found,,5,65,325,Washington,325
Both,Partner 65,not found,Contractors - Building,2,60.5,121,IL,1111
JobProgress,Leap Team 2023,not found,,6,75,450,PA,450
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,Virginia,242
JobProgress,Leap Team 2023,not found,,2,79,158,Tennessee,158
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,206.5,SC,206.5
JobProgress,Partner 65,not found,Contractors - Roofing,5,60.5,302.5,CT,302.5
JobProgress,Leap Team 2023,not found,,3,79,507,AZ,507
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,NJ,423.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,MN,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,GA,242
JobProgress,Partner 65,not found,,5,60.5,302.5,KY,302.5
JobProgress,Partner 65,not found,Contractors - Building,2,65,130,MD,130
JobProgress,Partner 65,not found,,4,60.5,242,NE,242
JobProgress,Partner 65,236118,Contractors - Building,3,65,195,MD,195
JobProgress,Partner 65,not found,,3,65,195,Alberta,195
JobProgress,Partner 65,not found,,3,65,195,NY,195
JobProgress,Partner 65,not found,,4,65,260,Texas,260
JobProgress,Partner 65,not found,Contractors - Roofing,6,60.5,363,CT,363
Both,Partner 65,not found,Housewares & Home Decor,4,60.5,242,FL,492
Leap,Premium 2021,not found,,1,99,99,CA,99
JobProgress,Partner 65,not found,Contractors - Roofing,6,60.5,363,PA,363
Leap,Premium 2021,not found,Contractors - Building,2,99,198,FL,198
JobProgress,Leap Team 2023,not found,Carpet & Flooring,5,79,395,OH,395
JobProgress,Partner 65,not found,Contractors - Roofing,5,60.5,302.5,FL,302.5
JobProgress,Partner 65,not found,,4,45,180,SC,180
JobProgress,Partner 65,not found,,3,65,195,TX,195
JobProgress,Partner 65,not found,Contractors - Siding,3,60.5,181.5,MI,181.5
JobProgress,Partner 65,not found,,3,65,195,TX,195
JobProgress,Partner 65,not found,,5,38.5,192.5,WA,192.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,OK,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,CA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,CA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,MA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,65,195,NE,195
JobProgress,Partner 65,not found,Engineers,3,65,195,CT,195
JobProgress,Partner 65,not found,Contractors - Roofing,3,65,195,TX,195
JobProgress,Partner 65,not found,Contractors - Roofing,3,65,195,OH,195
JobProgress,Partner 65,not found,,3,65,195,Texas,195
JobProgress,Partner 65,not found,Contractors - Roofing,3,65,195,MI,195
Both,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,VA,478.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,CO,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,VA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,FL,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,NJ,181.5
JobProgress,Partner 65,not found,Contractors - Building,3,60.5,181.5,MA,181.5
JobProgress,Leap Team 2023,not found,,3,79,412,IN,412
JobProgress,Partner 65,not found,,5,65,325,CO,325
JobProgress,Partner 65,not found,Contractors - Roofing,4,55,220,TX,220
JobProgress,Partner 65,not found,,2,65,130,WI,130
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,CT,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,CT,181.5
Both,Premium 2021,not found,"Awnings, Canopies & Tarps",3,99,297,CO,622
JobProgress,Partner 65,not found,Contractors - Building,3,60.5,181.5,NC,181.5
JobProgress,Partner 65,not found,,3,60.5,181.5,South Carolina,181.5
JobProgress,Leap Team 2023,not found,,3,79,237,Florida,237
JobProgress,Partner 65,not found,Contractors - Building,4,60.5,242,MO,242
JobProgress,Leap Team 2023,not found,,4,65,260,GA,260
Both,Partner 65,not found,Contractors - Roofing,4,60.5,242,CA,341
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,NC,242
JobProgress,Partner 65,not found,Contractors - Building,3,65,195,WA,195
JobProgress,Leap Team 2023,not found,,4,79,316,FL,316
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,TX,181.5
Leap,Premium 2021,not found,Contractors - Roofing,1,99,99,AL,99
Leap,Premium 2021,not found,,1,99,99,NY,99
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,CA,242
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,LA,181.5
Both,Premium 2021,not found,Contractors - Roofing,1,99,99,GA,341
Leap,Premium 2021,not found,,1,99,99,CA,99
JobProgress,Partner 65,not found,,3,65,195,NC,195
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,CT,60.5
JobProgress,Partner 65,238170,Glass Products & Services,4,60.5,242,WI,242
JobProgress,Partner 65,not found,,4,65.5,262,Indiana,262
Leap,Enterprise 2021,not found,,1,125,125,CT,125
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,NY,242
Leap,Premium 2021,not found,Real Estate - Brokers & Agents,3,89,267,ON,267
JobProgress,Partner 65,not found,Contractors - Painting,4,60.5,242,WA,242
JobProgress,Partner 65,not found,Tree Service,4,60.5,242,MO,242
JobProgress,Partner 65,not found,,4,65,260,Florida,260
JobProgress,Partner 65,not found,Contractors - Building,3,55,190,WA,190
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,VA,181.5
JobProgress,Partner 65,238160,Contractors - Roofing,8,60.5,484,NH,484
JobProgress,Partner 65,236118,Contractors - Building,4,60.5,242,OK,242
Both,Partner 65,not found,,6,45,270,TX,540
JobProgress,Partner 65,not found,Contractors - Siding,4,60.5,242,NC,242
JobProgress,Partner 65,not found,Contractors - Building,3,60.5,181.5,FL,181.5
JobProgress,Partner 65,not found,,4,55,220,CO,220
JobProgress,Partner 65,238160,Contractors - Roofing,2,60.5,121,FL,121
JobProgress,Partner 65,not found,,4,45,180,Florida,180
JobProgress,Partner 65,not found,,4,60.5,242,MD,242
JobProgress,Partner 65,not found,Carpet & Flooring,3,60.5,181.5,NC,181.5
JobProgress,Partner 65,not found,Carpet & Flooring,1,44,44,IL,44
JobProgress,Partner 65,not found,,6,55,330,Florida,330
JobProgress,Leap Team 2023,not found,,6,99,546,MO,546
JobProgress,Partner 65,not found,Contractors - Roofing,4,65,260,CA,260
Leap,Pro 2021,not found,,2,49,98,CT,98
Leap,Premium 2021,not found,Contractors - Building,2,99,198,IL,198
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,OH,242
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,MN,242
JobProgress,Leap Team 2023,not found,,3,79,237,Alabama,237
JobProgress,Partner 65,not found,Contractors - Building,3,60.5,231.5,IL,231.5
Both,SalesPro Team 2023,not found,Contractors - Roofing,6,99,594,MD,1539
Leap,SalesPro Team 2023,not found,,10,90,900,OR,900
JobProgress,Partner 65,not found,,2,65,130,Massachusetts,130
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,TX,181.5
Leap,SalesPro Team 2023,423310,,3,99,297,FL,297
JobProgress,Partner 65,not found,,1,65,65,AL,65
JobProgress,Leap Team 2023,not found,,5,79,395,MN,395
JobProgress,Leap Team 2023,238160,,4,99,348,FL,348
Leap,SalesPro Team 2023,not found,,2,99,198,FL,198
JobProgress,Partner 65,not found,,7,27.5,192.5,WA,192.5
Leap,Premium 2021,not found,Contractors - Roofing,1,99,99,IN,99
Leap,Premium 2021,236118,,2,99,198,FL,198
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,DE,181.5
JobProgress,Partner 65,not found,Contractors - Building,3,60.5,181.5,VA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,TX,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,NJ,181.5
JobProgress,Partner 65,not found,"Heating, Ventilation & Air Conditioning",3,60.5,181.5,WI,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,MD,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,IL,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,ON,181.5
JobProgress,Partner 65,not found,Contractors - Building,3,60.5,181.5,TX,181.5
JobProgress,Partner 65,not found,,3,60.5,181.5,CO,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,FL,181.5
JobProgress,Partner 65,238160,Contractors - Roofing,3,60.5,181.5,IL,181.5
JobProgress,Partner 65,not found,Contractors - Building,3,60.5,181.5,NJ,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,GA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,NJ,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,FL,181.5
JobProgress,Partner 65,not found,Cabinets & Countertops,3,60.5,181.5,NJ,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,OR,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,MD,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,GA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,TX,181.5
JobProgress,Partner 65,not found,Contractors - Concrete,3,60.5,181.5,PA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,CO,181.5
JobProgress,Partner 65,not found,"Utilities - Gas, Water & Electric",3,60.5,181.5,PA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,TX,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,IL,181.5
JobProgress,Partner 65,not found,Interior Designers & Decorators,3,60.5,181.5,WA,181.5
JobProgress,Partner 65,not found,Contractors - Building,3,60.5,181.5,UT,181.5
JobProgress,Partner 65,not found,Contractors - Building,3,55,165,TX,165
JobProgress,Partner 65,not found,Home Improvement & Remodeling Services,3,60.5,181.5,FL,181.5
JobProgress,Partner 65,238160,Contractors - Roofing,3,60.5,181.5,GA,181.5
JobProgress,Partner 65,not found,Contractors - Building,3,60.5,181.5,OR,181.5
JobProgress,Partner 65,not found,,2,65,130,Ohio,130
JobProgress,Leap Team 2023,238160,,5,79,395,CO,395
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,OH,242
JobProgress,Partner 65,not found,Contractors - Building,5,38.5,192.5,TX,192.5
Both,Partner 65,not found,Contractors - Deck & Patio,2,60.5,171,DE,308.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,50,200,TX,200
Leap,Enterprise 2021,not found,Contractors - Building,1,125,125,MT,125
JobProgress,Partner 65,not found,,4,65,260,GA,260
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,MD,181.5
JobProgress,Leap Team 2023,not found,,4,79,341,North Carolina,341
JobProgress,Leap Team 2023,not found,,3,79,237,NC,237
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,VA,181.5
JobProgress,Partner 65,not found,,2,65,130,MD,130
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,CT,181.5
Leap,Pro 2021,not found,Contractors - Building,1,49,49,MN,49
JobProgress,Leap Team 2023,not found,,4,65,260,CA,260
JobProgress,Partner 65,not found,,3,65,195,Virgin Islands,195
JobProgress,Partner 65,238160,,3,60.5,181.5,TX,181.5
JobProgress,Partner 65,238160,Contractors - Roofing,4,55,220,NC,220
JobProgress,Partner 65,not found,Contractors - Painting,3,65,195,AL,195
JobProgress,Partner 65,238160,Contractors - Roofing,3,60.5,181.5,CA,181.5
JobProgress,Partner 65,not found,,3,65,195,IN,195
JobProgress,Partner 65,not found,,2,65,130,PA,130
JobProgress,Leap Team 2023,not found,,2,79,158,Tennessee,158
JobProgress,Partner 65,236118,Contractors - Building,3,60.5,181.5,MD,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,WA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,55,165,OH,165
JobProgress,Partner 65,238160,Contractors - Roofing,3,60.5,206.5,IL,206.5
Both,SalesPro Team 2023,not found,,1,99,99,AZ,348
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,NC,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,GA,181.5
JobProgress,Leap Team 2023,not found,,4,79,316,SC,316
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,PA,242
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,GA,181.5
JobProgress,Partner 65,not found,Contractors - Painting,3,60.5,181.5,CT,181.5
JobProgress,Partner 65,not found,,4,65,260,CA,260
JobProgress,Partner 65,not found,,2,60.5,171,TN,171
JobProgress,Leap Team 2023,not found,,3,79,237,MN,237
JobProgress,Leap Team 2023,not found,,3,79,237,FL,237
Leap,Premium 2021,not found,Cleaning Services & Supplies,1,99,99,MA,99
JobProgress,Partner 65,not found,,1,65,65,CA,65
JobProgress,Partner 65,not found,,5,55,325,Ohio,325
Leap,SalesPro Enterprise 2023,not found,,13,129,1677,Florida,1677
JobProgress,Leap Team 2023,not found,,1,79,79,CA,79
JobProgress,Leap Team 2023,238160,,3,79,237,CA,237
JobProgress,Partner 65,not found,,3,60.5,181.5,NJ,181.5
Leap,Premium 2021,not found,,2,99,198,ID,198
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,OH,181.5
JobProgress,Partner 65,not found,,4,65,260,TX,260
JobProgress,Leap Team 2023,not found,,3,79,237,Texas,237
JobProgress,Leap Team 2023,not found,,5,74,370,TX,370
JobProgress,Partner 65,not found,,4,65,260,NJ,260
JobProgress,Partner 65,not found,Fences,3,55,165,NJ,165
JobProgress,Partner 65,not found,,3,65,195,CO,195
JobProgress,Partner 65,not found,,4,65,285,MN,285
JobProgress,Partner 65,not found,Contractors - Building,3,65,195,CA,195
JobProgress,Partner 65,not found,Contractors - Building,2,60.5,121,NJ,121
Leap,SalesPro Team 2023,not found,Contractors - Roofing,3,99,297,VA,297
JobProgress,Leap Team 2023,not found,,6,99,546,AZ,546
JobProgress,Leap Team 2023,not found,,7,74,518,TN,518
JobProgress,Leap Team 2023,not found,,4,79,316,Arkansas,316
JobProgress,Partner 65,not found,Contractors - Building,2,60.5,121,SD,121
JobProgress,Partner 65,not found,,3,65,195,IL,195
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,GA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,3,55,165,PA,165
JobProgress,Partner 65,not found,Carpet & Flooring,3,55,190,NY,190
JobProgress,Partner 65,238160,Contractors - Roofing,3,55,165,CA,165
JobProgress,Partner 65,not found,Contractors - Roofing,4,55,220,FL,220
JobProgress,Partner 65,not found,,3,60.5,181.5,TX,181.5
JobProgress,Partner 65,not found,"Heating, Ventilation & Air Conditioning",3,55,165,FL,165
JobProgress,Partner 65,not found,Contractors - Roofing,3,55,165,KS,165
JobProgress,Leap Team 2023,not found,,3,79,237,Connecticut,237
JobProgress,Leap Team 2023,not found,,3,79,237,Kentucky,237
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,TX,181.5
Leap,SalesPro Team 2023,not found,,2,99,198,IN,198
JobProgress,Partner 65,not found,Contractors - Painting,3,60.5,181.5,CT,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,2,60.5,121,FL,121
JobProgress,Partner 65,not found,Contractors - Concrete,3,60.5,181.5,MD,181.5
Leap,Premium 2021,not found,,1,99,99,NJ,99
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,TN,181.5
JobProgress,Partner 65,not found,,4,65,260,MO,260
JobProgress,Partner 65,not found,Contractors - Excavation & Wrecking,6,65,390,PA,390
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,IN,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,7,60.5,423.5,ON,423.5
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,NE,242
JobProgress,Partner 65,not found,,6,65,390,Minnesota,390
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,MA,181.5
JobProgress,Partner 65,238160,Contractors - Roofing,3,60.5,181.5,UT,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,49.5,49.5,TN,49.5
JobProgress,Leap Team 2023b,not found,,7,99,670,GA,670
JobProgress,Partner 65,not found,Contractors - Building,5,35,175,PA,175
JobProgress,Partner 65,not found,Contractors - Roofing,6,60.5,363,PA,363
JobProgress,Leap Team 2023,not found,,4,65,260,TN,260
Both,Premium 2021,not found,,2,99,198,TX,356
JobProgress,Partner 65,not found,Contractors - Roofing,2,65,130,TX,130
JobProgress,Partner 65,not found,,2,65,130,OH,130
Leap,SalesPro Enterprise 2023,423310,Glass Products & Services,6,129,774,NY,774
JobProgress,Partner 65,not found,,3,79,237,Tennessee,237
JobProgress,Leap Team 2023,238160,,3,79,237,IA,237
JobProgress,Partner 65,not found,Sporting Goods,3,60.5,181.5,FL,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,4,60.5,242,WI,242
JobProgress,Partner 65,not found,Contractors - Building,3,60.5,181.5,TX,181.5
JobProgress,Leap Team 2023,not found,,4,65,260,North Carolina,260
JobProgress,Partner 65,not found,,2,65,130,Florida,130
