Leap Product,Plan,NAICS Code,Primary Classification,Current Number of Licenses,Current Monthly Cost Per License,Current Total Monthly Cost,Billing State/Province,Current MRR
Leap,Premium 2019,not found,Contractors - Roofing,35,72,2520,OH,2520
Leap,Premium 2019,not found,Contractors - Building,28,85,2380,MI,2380
Leap,Premium 2019,not found,Contractors - Building,22,105,2310,PA,2310
Leap,Premium 2020,236118,Glass Products & Services,60,50,3000,OH,3000
Leap,Premium 2019,not found,Contractors - Roofing,25,72,1800,MO,1800
Leap,Premium 2020,not found,Glass Products & Services,50,55,2750,IL,2750
Leap,Premium 2019,not found,Contractors - Roofing,22,70.4,1548.8,NH,1548.8
Leap,Premium 2019,not found,Contractors - Building,33,71.5,2359.5,CA,2359.5
Leap,Enterprise 2021,not found,Contractors - Building,33,105,3465,PA,3465
Leap,Premium 2019,236118,Contractors - Building,18,60,1080,North Carolina,1080
Leap,Premium 2021,238160,Contractors - Roofing,51,99,5049,MI,5049
Leap,Premium 2019,not found,Contractors - Building,9,60,540,IA,540
Leap,Premium 2019,not found,Contractors - Roofing,2,66,132,CA,132
Leap,Premium 2019,not found,Contractors - Roofing,4,71.5,286,Ont.,286
Leap,Premium 2019,not found,Contractors - Building,30,60,1800,IL,1800
Leap,Premium 2019,not found,Contractors - Building,54,55,2970,TX,2970
Leap,Enterprise 2021,not found,Contractors - Roofing,138,80,11040,MN,11040
Leap,Enterprise 2021,236118,Glass Products & Services,70,75,5250,NY,5250
Leap,Premium 2019,not found,Contractors - Building,28,66,1848,RI,1848
Leap,Enterprise 2021,238170,Glass Products & Services,54,105,5670,Indiana,5670
Leap,Enterprise 2021,not found,Contractors - Building,119,74,8806,IL,8806
Leap,Premium 2019,not found,Contractors - Siding,16,69.3,1108.8,RI,1108.8
Leap,Premium 2019,not found,Contractors - Roofing,9,104.5,940.5,MA,940.5
Leap,Premium 2019,423310,Glass Products & Services,21,88,1848,FL,1848
Leap,Premium 2019,238170,Contractors - Siding,17,80,1360,IL,1360
Leap,Premium 2020,not found,Contractors - Building,46,105.5,4853,IN,4853
Leap,Premium 2019,not found,Contractors - Building,30,54,1620,MA,1620
Leap,Premium 2020,423310,Glass Products & Services,23,105,2415,FL,2415
Leap,Premium 2019,not found,Contractors - Siding,20,34,680,ND,680
Leap,Enterprise 2021,not found,Contractors - Building,37,88,3256,MD,3256
Leap,Premium 2019,236118,Glass Products & Services,31,80,2480,WA,2480
Leap,Premium 2019,not found,Contractors - Building,25,60,1500,PA,1500
Leap,Premium 2020,not found,Glass Products & Services,31,65,2015,MD,2015
Leap,Enterprise 2021,not found,Contractors - Roofing,17,79.2,1346.4,IN,1346.4
Leap,Enterprise 2021,not found,Contractors - Building,30,100,3000,MD,3000
Leap,Premium 2020,not found,Contractors - Building,46,55,2530,FL,2530
Leap,Premium 2019,not found,Glass Products & Services,22,50,1100,Virginia,1100
Leap,Premium 2019,not found,,25,77,1925,IL,1925
Leap,Premium 2019,not found,Contractors - Building,25,94.05,2351.25,Virginia,2351.25
Leap,Enterprise 2021,423310,Glass Products & Services,65,75,4875,FL,4875
Leap,Premium 2019,not found,Contractors - Roofing,15,77,1155,MD,1155
Leap,Premium 2021,not found,Cabinets & Countertops,41,79.2,3247.2,MI,3247.2
Leap,Premium 2021,not found,Construction Supplies & Services,60,65,3900,Tennessee,3900
Leap,Premium 2019,not found,Contractors - Building,22,60.5,1331,UT,1331
Leap,Enterprise 2021,not found,Home Improvement & Remodeling Services,25,100,2500,Maryland,2500
Leap,Enterprise 2021,not found,Contractors - Building,116,75,8700,MI,8700
Leap,Premium 2019,not found,Glass Products & Services,12,93.5,1122,Wisconsin,1122
Leap,Premium 2019,not found,,29,85.5,2479.5,FL,2479.5
Leap,Premium 2019,not found,Glass Products & Services,30,50,1500,OH,1500
Leap,Enterprise 2021,not found,Contractors - Building,23,100,2300,Utah,2300
Leap,Enterprise 2021,not found,Contractors - Roofing,50,88,4400,PA,4400
Leap,Premium 2019,not found,Contractors - Building,14,66,924,VA,924
Leap,Enterprise 2021,not found,,20,125,2500,UT,2500
Leap,Premium 2019,not found,Contractors - Roofing,14,88,1232,Ont.,1232
Leap,Premium 2019,not found,Contractors - Plumbers & Plumbing,12,137.5,1650,Utah,1650
Leap,Premium 2019,not found,Contractors - Roofing,6,66,396,VA,396
Leap,Premium 2019,not found,Contractors - Building,15,80,1200,CA,1200
Leap,Premium 2019,not found,Contractors - Building,1,94.05,94.05,PA,94.05
Leap,Premium 2019,not found,Contractors - Siding,14,60,840,NE,840
Leap,Premium 2019,not found,Contractors - Building,16,80,1280,GA,1280
Leap,Enterprise 2021,not found,Glass Products & Services,20,105,2100,OH,2100
Leap,Enterprise 2021,444110,Contractors - Building,20,100,2000,NY,2000
Leap,Premium 2019,not found,Glass Products & Services,40,55,2200,TX,2200
Leap,Premium 2019,444110,Construction Supplies & Services,17,63.25,1075.25,GA,1075.25
Leap,Enterprise 2021,not found,Contractors - Roofing,19,125,2375,MA,2375
Leap,Enterprise 2021,not found,Contractors - Roofing,43,88,3784,PA,3784
Leap,Premium 2019,238330,Glass Products & Services,15,80.75,1211.25,PA,1211.25
Leap,Premium 2021,not found,Home Improvement & Remodeling Services,55,60,3300,PA,3300
Leap,Premium 2019,238160,Contractors - Roofing,10,77,770,TX,770
JobProgress,Partner 65,not found,Contractors - Building,353,38.5,13590.5,OK,13590.5
Leap,Premium 2020,444110,Glass Products & Services,32,50,1600,MA,1600
Leap,Premium 2019,not found,Contractors - Roofing,9,85.5,769.5,Wisconsin,769.5
Leap,Enterprise 2021,not found,Contractors - Roofing,20,95,1900,MD,1900
Leap,Premium 2019,not found,Contractors - Building,10,104.5,1045,MD,1045
Leap,SalesPro Enterprise 2023,not found,Construction Supplies & Services,144,68,9792,MN,9792
Leap,Premium 2019,not found,Contractors - Roofing,17,88,1496,MD,1496
Leap,Premium 2019,not found,Glass Products & Services,11,76,836,IA,836
Leap,Premium 2019,not found,Contractors - Roofing,14,60,840,VA,840
Leap,Premium 2020,not found,Contractors - Building,20,74.9,1498,NJ,1498
Leap,Premium 2019,not found,Construction Supplies & Services,14,95,1330,MN,1330
Leap,Enterprise 2021,not found,Contractors - Building,19,125,2375,CA,2375
Leap,SalesPro Enterprise 2023,not found,Glass Products & Services,120,62.5,7500,Massachusetts,7500
Leap,Enterprise 2021,not found,Contractors - Roofing,15,125,1875,MD,1875
Leap,Premium 2019,not found,Home Improvement & Remodeling Services,10,93.5,935,OH,935
Leap,Premium 2021,not found,Contractors - Roofing,43,65,2795,Maryland,2795
Leap,Premium 2019,not found,Contractors - Roofing,5,63,315,NC,315
Leap,Premium 2019,not found,Contractors - Building,17,55,935,AL,935
Leap,Premium 2019,not found,Contractors - Roofing,10,70,700,NC,700
Leap,Enterprise 2021,not found,Contractors - Building,25,100,2500,IL,2500
Leap,Enterprise 2021,not found,Contractors - Building,80,65.63,5250.4,TX,5250.4
Leap,Premium 2019,not found,,3,88,264,CO,264
Leap,Premium 2019,not found,Glass Products & Services,7,95,665,IL,665
Leap,Premium 2019,not found,Contractors - Roofing,11,88,968,TX,968
Leap,Premium 2019,423310,Glass Products & Services,11,70,770,FL,770
Leap,Premium 2019,not found,Glass Products & Services,14,55,770,MI,770
Leap,Premium 2019,not found,Contractors - Building,12,50,600,CA,600
Leap,Premium 2019,not found,Contractors - Building,11,88,968,MI,968
Leap,Premium 2019,not found,Glass Products & Services,8,125,1000,CO,1000
Leap,Enterprise 2021,238160,Contractors - Roofing,26,112.5,2925,Virginia,2925
JobProgress,Partner 65,not found,,107,45,4815,KY,4815
Leap,Premium 2021,236118,Contractors - Building,20,84,1680,AZ,1680
Leap,Enterprise 2021,238130,Glass Products & Services,21,100,2100,Ohio,2100
Leap,Premium 2019,not found,Contractors - Roofing,2,103.95,207.9,VA,207.9
Leap,Premium 2020,236118,Contractors - Building,16,105,1680,NY,1680
Leap,Enterprise 2021,238170,Contractors - Roofing,34,100,3400,MA,3400
Leap,Enterprise 2021,not found,Contractors - Siding,15,100,1500,IL,1500
Leap,Enterprise 2021,not found,Contractors - Building,30,112.5,3375,TX,3375
Leap,Enterprise 2021,238160,Contractors - Roofing,27,125,3375,Washington,3375
Leap,Premium 2019,not found,Contractors - Roofing,11,54,594,IL,594
Leap,Premium 2019,not found,Contractors - Foundation,11,70,770,TX,770
Leap,Premium 2019,not found,Home Improvement & Remodeling Services,14,55,770,CA,770
Leap,Enterprise 2021,423310,Glass Products & Services,12,125,1500,WA,1500
Leap,Enterprise 2021,not found,Landscaping Services & Supplies,20,110,2200,UT,2200
Leap,Premium 2019,not found,Contractors - Building,7,85.5,598.5,MI,598.5
Leap,Premium 2020,not found,Contractors - Building,18,55,990,FL,990
Leap,Premium 2020,not found,Contractors - Building,26,50,1300,PA,1300
JobProgress,Partner 65,not found,Contractors - Roofing,74,55,4070,TX,4070
JobProgress,Partner 65,238160,Contractors - Roofing,110,38.5,4235,VA,4235
Leap,Enterprise 2021,not found,Glass Products & Services,30,75,2250,ON,2250
Leap,Premium 2020,not found,Cleaning Services & Supplies,13,80,1040,FL,1040
Leap,Premium 2019,not found,,8,104.5,836,MD,836
Both,Premium 2021,not found,Contractors - Paving,25,75,1875,CA,3525
Leap,Enterprise 2021,not found,,67,75,5025,Wisconsin,5025
Leap,Premium 2019,not found,Contractors - Building,20,55,1100,CA,1100
Leap,Premium 2019,not found,Contractors - Concrete,5,123.75,618.75,NJ,618.75
Leap,Premium 2020,not found,Contractors - Building,19,50,950,NC,950
Leap,Premium 2019,not found,Contractors - Roofing,6,115.5,693,NJ,693
Leap,Premium 2019,not found,Contractors - Roofing,2,93.5,187,CA,187
Leap,Premium 2020,not found,Contractors - Building,26,105,2730,MI,2730
Leap,Premium 2019,not found,Contractors - Roofing,10,94.05,940.5,Wisconsin,940.5
Leap,Premium 2020,not found,Contractors - Roofing,13,80,1040,DE,1040
Leap,Premium 2019,not found,Waste Management,3,137.5,412.5,NJ,412.5
JobProgress,Partner 65,not found,Contractors - Roofing,75,49.5,3712.5,PA,3712.5
Leap,Premium 2019,not found,Contractors - Building,10,60.5,605,OK,605
Leap,Enterprise 2021,not found,Contractors - Building,51,75,3825,NY,3825
Leap,Premium 2019,not found,Home Improvement & Remodeling Services,7,70,490,IL,490
Leap,Premium 2019,not found,Contractors - Insulation,6,115.5,693,IN,693
Leap,Premium 2021,not found,Contractors - Building,22,90,1980,NC,1980
Leap,Enterprise 2021,not found,Glass Products & Services,55,68.75,3781.25,MN,3781.25
Leap,Premium 2021,not found,Home Improvement & Remodeling Services,14,79,1106,MD,1106
Leap,Premium 2021,not found,Contractors - Siding,27,75,2025,MN,2025
Leap,Enterprise 2021,not found,Contractors - Roofing,1,88,88,NJ,88
Both,Leap Team 2023,not found,,200,55,11000,NC,13625
Leap,Premium 2020,not found,Glass Products & Services,11,80,880,MA,880
Leap,Premium 2020,423310,Glass Products & Services,24,54.45,1306.8,CT,1306.8
Leap,Premium 2019,not found,Contractors - Insulation,6,104.5,627,MD,627
Leap,Premium 2021,not found,Contractors - Building,7,90,630,NJ,630
Leap,Premium 2019,238160,Contractors - Roofing,6,94.05,564.3,OH,564.3
Leap,Premium 2019,not found,Glass Products & Services,6,70,420,MN,420
Leap,Premium 2020,not found,Glass Products & Services,13,85.5,1111.5,KY,1111.5
JobProgress,Partner 65,not found,Contractors - Building,118,27.5,3245,MD,3245
Both,Enterprise 2021,not found,Contractors - Roofing,10,125,1250,IN,4793
Leap,Premium 2021,not found,Home Improvement & Remodeling Services,14,90,1260,PA,1260
Leap,Premium 2019,not found,Contractors - Building,8,55,440,LA,440
Leap,Premium 2019,238160,Contractors - Roofing,7,104.5,731.5,TX,731.5
Leap,Premium 2020,not found,Contractors - Building,15,55,825,PA,825
Leap,Premium 2020,not found,Contractors - Building,15,60.5,907.5,MN,907.5
Leap,Premium 2019,not found,,5,115.5,577.5,AR,577.5
Leap,Premium 2021,not found,Contractors - Roofing,13,89,1157,MI,1157
Leap,Enterprise 2021,not found,Contractors - Roofing,25,112.5,2812.5,MD,2812.5
Leap,Premium 2019,not found,Contractors - Building,5,77,385,AL,385
Leap,Premium 2019,not found,Contractors - Siding,5,77,385,SD,385
Leap,Premium 2019,not found,Contractors - Roofing,6,104.5,627,NY,627
Leap,Premium 2020,not found,Cleaning Services & Supplies,1,80,80,NJ,80
Leap,Premium 2019,not found,Glass Products & Services,3,85.5,256.5,CO,256.5
Leap,Premium 2019,not found,Contractors - Roofing,4,95,380,MD,380
Leap,Enterprise 2021,not found,Construction Supplies & Services,22,85,1870,CO,1870
Leap,Premium 2019,444110,Glass Products & Services,5,104.5,522.5,MI,522.5
Leap,Enterprise 2021,not found,Contractors - Building,10,125,1250,MD,1250
Leap,Premium 2019,not found,Contractors - Building,9,60.5,544.5,TX,544.5
Leap,Enterprise 2021,not found,Glass Products & Services,33,75,2475,CO,2475
Leap,Enterprise 2021,not found,Contractors - Roofing,15,115,1725,WI,1725
Leap,Enterprise 2021,not found,Housewares & Home Decor,18,112.5,2025,AZ,2025
Leap,Premium 2019,not found,Contractors - Building,11,60.5,665.5,GA,665.5
JobProgress,Partner 65,not found,Contractors - Roofing,47,60.5,3118.5,WI,3118.5
Leap,Premium 2019,444110,Glass Products & Services,7,94.05,658.35,PA,658.35
Leap,Enterprise 2021,not found,Contractors - Building,35,115,4025,PA,4025
Leap,Premium 2020,not found,Cleaning Services & Supplies,9,104.5,940.5,PA,940.5
Leap,Premium 2020,not found,Contractors - Roofing,7,123.75,866.25,IL,866.25
Leap,Enterprise 2021,not found,Contractors - Building,10,100,1000,NY,1000
Leap,Enterprise 2021,not found,Contractors - Building,20,95,1900,Minnesota,1900
Leap,Premium 2019,not found,Glass Products & Services,5,76,380,IN,380
Leap,Enterprise 2021,not found,Landscaping Services & Supplies,6,125,750,CA,750
Leap,Premium 2020,not found,Contractors - Roofing,9,94.05,846.45,PA,846.45
Leap,Premium 2019,423310,Glass Products & Services,5,115.5,577.5,TN,577.5
