Leap Product,Company ObjectId,Account Name,Plan,Account ID,Agreement: Agreement #,Next Payment Due Date,Start Date,NAICS Code,Primary Classification,Current Number of Licenses,Current Monthly Cost Per License,Current Total Monthly Cost,Total Setup Fee,Total Paid-To-Date,Billing Zip/Postal Code,Billing City,Billing State/Province,Account Owner,Customer Success Manager,Current MRR,Consolidated Census Bands,Census Bands,# Of Potential Users,Current Leap Users,Current SalesPro Users,Current Leap MRR,Current SalesPro MRR
Leap,5oM9tWULxk,Uneven Floor Solutions,Premium 2021,0011K00002ZMKZi,3687,11/8/23,11/8/22,not found,,1,99,99,500,$891 ,29645,Gray Court,SC,Sydney Phillips,Sydney Phillips,99,1-9 employees,1-4 employees,,0,1,0,99
Leap,3KPLsiRQWq,Express Remodeling,Pro 2021,0011K00002aMyCE,5942,10/12/23,1/12/23,not found,,2,49,98,0,$882 ,,Kansas City,MO,Daniil Lyalko,Kevin Powell,98,1-9 employees,1-4 employees,,0,2,0,98
Leap,zcUC1jumyr,United Windows & Doors,Pro 2021,0011K00002VMZbW,3409,11/4/23,5/4/22,not found,Housewares & Home Decor,1,49,49,0,$882 ,,,FL,Sydney Phillips,Sydney Phillips,49,10-19 employees,10-19 employees,,0,1,0,49
Leap,5pj2fQGEqt,Shield Turf N Pavers,SalesPro Team 2023,0011K00002d75T6,6785,10/27/23,6/27/23,not found,,2,99,198,500,$857 ,92868,Orange,CA,Corey Stroup Mishenko,Corey Stroup Mishenko,198,1-9 employees,1-4 employees,,0,2,0,198
Leap,wGYRT7w934,Sash and Sill,SalesPro Enterprise 2023,0014100001V9Yma,7102,11/6/23,10/6/23,not found,Glass Products & Services,7,120,840,0,$840 ,34240,Sarasota,FL,Sydney Stansell,Sydney Stansell,840,1-9 employees,5-9 employees,3,0,7,0,840
Leap,ynXqbcohIW,Apex Roofing and Construction LLC,Premium 2021,0011K00002H4rtG,5958,10/17/23,1/17/23,not found,Contractors - Roofing,1,90,90,0,$810 ,,Clarksburg,MD,Corey Stroup Mishenko,Corey Stroup Mishenko,90,1-9 employees,1-4 employees,0,0,1,0,90
Leap,0gZ4BlNmku,Fearless Tiger Construction LLC,Premium 2021,0011K00002VNyIy,6102,11/6/23,2/6/23,not found,Engineers,1,90,90,0,$810 ,,,OR,Sydney Phillips,Sydney Phillips,90,1-9 employees,1-4 employees,3,0,1,0,90
Leap,WEpunIvgC9,A&I Construction Services LLC,Premium 2021,0011K00002bb1te,6216,10/28/23,2/28/23,not found,,1,99,99,0,$792 ,,,FL,Sydney Phillips,Sydney Phillips,99,1-9 employees,1-4 employees,,0,1,0,99
Leap,w8klQWF9Wk,TOTAL DESIGN AND REMODEL,Premium 2021,0011K00002YMFf1,3592,10/13/23,9/13/22,not found,Home Improvement & Remodeling Services,1,99,99,0,$787 ,,,VA,Corey Stroup Mishenko,Corey Stroup Mishenko,99,10-19 employees,10-19 employees,,0,1,0,99
Leap,algVRORU0I,Legacy industrial coatings,SalesPro Enterprise 2023,0011K00002c42zj,6888,10/28/23,7/28/23,not found,,2,129,258,0,$774 ,,,FL,Christopher Cielo,Christopher Cielo,258,1-9 employees,1-4 employees,,0,2,0,258
Leap,IaWy4hxf8U,Arbor Insulation Solutions,SalesPro Enterprise 2023,0011K00002EQA4D,6844,10/13/23,7/13/23,not found,Contractors - Insulation,2,129,258,0,$774 ,30076-3480,Roswell,GA,Colton Temanson,Colton Temanson,258,10-19 employees,10-19 employees,5,0,2,0,258
Leap,gW0gE63f6p,HomeView Exteriors,SalesPro Team 2023,0011K00002bsehA,6995,10/31/23,8/31/23,not found,,3,85,255,500,$755 ,,des,iowa,Francesca Furnells,Francesca Furnells,255,1-9 employees,1-4 employees,,0,3,0,255
Leap,LAPVWkhrs5,"Universal Pest & Termite, Inc",SalesPro Enterprise 2023,0011K00002b47A8,6792,10/28/23,6/28/23,not found,,2,125,250,0,$750 ,,,VA,Colton Temanson,Colton Temanson,250,1-9 employees,1-4 employees,,0,2,0,250
Leap,92LubtA13J,Infinity Roofing,SalesPro Enterprise 2023,0011K00002eQ3si,6970,10/23/23,8/23/23,not found,,1,125,125,500,$750 ,,,NC,Francesca Furnells,Francesca Furnells,125,1-9 employees,1-4 employees,,0,1,0,125
Leap,UxcbxtI3GM,sounders roofing llc,SalesPro Team 2023,0011K00002eQpp6,6935,10/10/23,8/10/23,not found,,1,99,99,500,$698 ,,,WA,Francesca Furnells,Francesca Furnells,99,1-9 employees,1-4 employees,,0,1,0,99
Leap,sr9ZvsO9tf,Vermillion Roofing,SalesPro Team 2023,0011K00002br9Ui,6334,10/21/23,3/21/23,not found,,1,99,99,0,$693 ,55731,Ely,Minnesota,Daniil Lyalko,Kevin Powell,99,1-9 employees,1-4 employees,,0,1,0,99
Leap,37HlANxVyX,Eco Living Home Improvement & Design,Premium 2021,0011K00002SjRGb,5605,10/29/23,11/29/22,not found,Consultants - Business,1,99,99,0,$693 ,32246,Jacksonville,FL,Sydney Phillips,Sydney Phillips,99,1-9 employees,1-4 employees,,0,1,0,99
Leap,eMqNt31P09,Trinity Water Treatment LLC,SalesPro Team 2023,0011K00002f8iGd,7007,11/7/23,9/7/23,not found,,2,99,198,250,$646 ,78209,San Antonio,TX,Christian Reynard,Sydney Phillips,198,1-9 employees,1-4 employees,,0,2,0,198
Leap,lBMs47A4T3,Frey Contractors,Pro 2021,0011K00002YMa5v,3635,11/4/23,10/4/22,not found,Contractors - Building,1,49,49,0,$637 ,,,PA,Sydney Phillips,Sydney Phillips,49,1-9 employees,1-4 employees,,0,1,0,49
Leap,b8wV8C1MtE,Medina Exteriors & Remodeling,SalesPro Team 2023,0014100000iBUoD,7080,10/29/23,9/29/23,236118,Home Improvement & Remodeling Services,1,99,99,500,$599 ,44256-5622,MEDINA,OH,Sydney Phillips,Sydney Phillips,99,1-9 employees,1-4 employees,,0,1,0,99
Leap,VF9TPTo4ye,Precision Roofing and Exteriors,SalesPro Team 2023,0011K00002f9oOC,7063,10/26/23,9/26/23,not found,,1,99,99,500,$599 ,99336,Kennewick,WA,Sydney Phillips,Sydney Phillips,99,1-9 employees,1-4 employees,,0,1,0,99
Leap,WalXWcCC5q,Speaks Custom Windows,SalesPro Team 2023,0011K00002d8mBD,6883,10/27/23,7/27/23,not found,,2,99,198,0,$594 ,,,NC,Francesca Furnells,Francesca Furnells,198,1-9 employees,1-4 employees,,0,2,0,198
Leap,6mZRW0rv0a,"Grayson Exteriors, LLC",SalesPro Team 2023,0011K00002bsJmJ,6354,10/23/23,3/23/23,not found,,1,99,99,0,$594 ,,,VA,Sydney Phillips,Sydney Phillips,99,1-9 employees,1-4 employees,,0,1,0,99
Leap,5WRxpttpm8,Colestruction LLC,Pro 2021,0011K00002ZM9j7,3679,10/28/23,10/28/22,not found,Contractors - Carpentry,1,49,49,0,$588 ,52656,West Point,IA,Sydney Phillips,Sydney Phillips,49,1-9 employees,1-4 employees,,0,1,0,49
Leap,xVhDvDVrMO,Timeless Exteriors,SalesPro Team 2023,0011K00002eQbK4,6912,11/4/23,8/4/23,not found,,2,99,198,0,$580 ,57064,Tea,SD,Francesca Furnells,Francesca Furnells,198,1-9 employees,1-4 employees,,0,2,0,198
Leap,ke9WB8ocO4,Sowers Contracting,Pro 2021,0011K00002ZMxFc,5555,10/15/23,11/15/22,not found,,1,49,49,0,$539 ,,Columbus,OH,Sydney Phillips,Sydney Phillips,49,1-9 employees,1-4 employees,1,0,1,0,49
Leap,ToxTlFRYhD,Inspired Closets of Kansas City,Pro 2021,0011K00002ETHdu,6057,10/28/23,1/28/23,not found,Interior Designers & Decorators,1,49,49,0,$501 ,66215,Lenexa,KS,Sydney Phillips,Sydney Phillips,49,250+ employees,250-499 employees,6,0,1,0,49
Leap,oV3YxYf9PS,Victoria Remodeling,SalesPro Team 2023,0011K00002d93Wq,6725,11/7/23,6/7/23,not found,,1,99,99,0,$495 ,33625,Tampa,FL,Christopher Cielo,Christopher Cielo,99,1-9 employees,1-4 employees,,0,1,0,99
Leap,3gqQmNoijX,Galaxy Roofing,SalesPro Team 2023,0011K00002fAIyo,7101,11/6/23,10/6/23,238160,,5,99,495,0,$495 ,17554,Mountville,PA,Sydney Stansell,Sydney Stansell,495,1-9 employees,5-9 employees,,0,5,0,495
Leap,fDTUMVvIAS,kroW Construction Inc.,Pro 2021,0011K00002YJNsx,3691,10/10/23,11/10/22,not found,,1,49,49,0,$490 ,61938,Mattoon,IL,Sydney Phillips,Sydney Phillips,49,1-9 employees,1-4 employees,,0,1,0,49
Leap,5ckZUiZhg2,Seattle Bath,Pro 2021,0011K00002VKoxQ,5696,10/14/23,12/14/22,not found,,1,49,49,0,$441 ,,,WA,Sydney Phillips,Sydney Phillips,49,1-9 employees,1-4 employees,1,0,1,0,49
Leap,akQ01aa8RE,iBuyer Builders LLC,Pro 2021,0011K00002b0zLW,6051,10/27/23,1/27/23,not found,,1,49,49,0,$441 ,,,AZ,Sydney Phillips,Sydney Phillips,49,1-9 employees,1-4 employees,,0,1,0,49
Leap,IYnCGFJHlO,K&H Home Solutions,Pro 2021,0014100001A4G27,7059,10/25/23,9/25/23,not found,Contractors - Building,8,49,392,0,$392 ,80002,Arvada,CO,Sydney Phillips,Sydney Phillips,392,1-9 employees,5-9 employees,16,0,8,0,392
Leap,rW8ZBPfshV,Sunshine Siding And Window,SalesPro Team 2023,0011K00002233bw,6924,10/9/23,8/9/23,238170,Glass Products & Services,1,129,129,0,$258 ,60193,Schaumburg,IL,Francesca Furnells,Francesca Furnells,129,1-9 employees,1-4 employees,,0,1,0,129
Leap,gu7MpKxUP1,Dimensional Contractors LLC,SalesPro Team 2023,0011K00002eSC0r,6982,10/29/23,8/29/23,not found,,1,99,99,0,$198 ,,,WI,Christopher Cielo,Christopher Cielo,99,1-9 employees,1-4 employees,,0,1,0,99
Leap,yVRvp9nQPa,Upscale Bath Solutions,SalesPro Team 2023,0011K00002NFUql,7016,11/8/23,9/8/23,not found,Contractors - Building,1,99,99,500,$-   ,30094,Conyers,GA,Sydney Phillips,Sydney Phillips,99,1-9 employees,1-4 employees,1,0,1,0,99
Leap,,Illinois Energy,SalesPro Team 2023,0011K00002WFo6x,7097,11/5/23,10/5/23,not found,Glass Products & Services,12,85,1020,0,$-   ,60532,Lisle,IL,Jordan Kahlenberg,Jordan Kahlenberg,1020,50-249 employees,100-249 employees,12,0,12,0,1020
Leap,,O?Gorman Brothers Inc,SalesPro Team 2023,0011K00002fA3o3,7098,11/30/23,10/5/23,not found,,20,85,1700,0,$-   ,,,NJ,Yesenia Romero,Yesenia Romero,1700,20-49 employees,20-49 employees,,0,20,0,1700
,,,,,,,,,,,,,,,,,,,,,,,,,,,
